Country,Total Farmers,Total Production,Exports to EU,Exports to Other Destinations,Total Exporters,Total Middlemen
Bolivia,17682,6011880,495391.0,873757.0,23,135
Brazil,287300,3978000008,954149791.0,1067729500.0,97,674
Burundi,583260,12900225,11347278.0,3843909.0,24,1266
China,147480,118823606,28086863.0,28935648.0,33,394
Colombia,547195,695999991,151467276.0,529931111.0,52,1194
Congo (Kinshasa),199800,16500003,4801510.0,2368415.0,24,499
Costa Rica,32899,86164791,13138902.0,51090378.0,31,165
Cote d'Ivoire,149770,81000000,25111729.0,19320300.0,31,399
Ecuador,52082,22202858,394616.0,1194105.0,25,204
El Salvador,20010,40200001,10616954.0,24378332.0,27,140
Ethiopia,2241187,501000147,87437547.0,149205232.0,47,4582
Guatemala,171445,205952191,37177344.0,154298653.0,37,442
Honduras,127320,333004471,213109593.0,146624770.0,42,354
India,442701,304743848,134295591.0,67468410.0,41,985
Indonesia,1341894,582000011,76731135.0,240933089.0,49,2783
Kenya,480539,47938531,28337473.0,35761632.0,28,1061
Laos,30947,27018966,8492881.0,23080910.0,26,161
Mexico,382925,245399987,36737708.0,49276664.0,39,865
Nicaragua,45283,159657281,44548902.0,114252319.0,35,190
Other,68470,38334266,0.0,0.0,27,236
Panama,8619,4799996,325494.0,2359792.0,22,117
Papua New Guinea,350322,54000005,22826256.0,24986825.0,29,800
Peru,222028,251999993,118444199.0,103946280.0,39,544
Rwanda,373880,15000038,8926718.0,10093404.0,24,847
Tanzania,336712,81000000,31242910.0,33823398.0,31,773
Uganda,1818480,411000002,143718138.0,59395489.0,44,3736
Vietnam,615738,1878000003,684373021.0,708700846.0,73,1331
Yemen,99570,19922200,31191.0,1498633.0,25,299
