exporter_id,unique_farmers,country,simulation_id,total_volume
0,16292,Brazil,869070644,5596499.108612697
1,19946,Brazil,869070644,9552274.727275487
2,22275,Brazil,869070644,8553151.81825616
3,22606,Brazil,869070644,11185142.687344607
4,24368,Brazil,869070644,9194772.753255997
5,16189,Brazil,869070644,8981504.317532348
6,14496,Brazil,869070644,4675431.864510931
7,19553,Brazil,869070644,10712581.007059945
8,15549,Brazil,869070644,8462900.439716846
9,12801,Brazil,869070644,3911801.692964585
10,23230,Brazil,869070644,10097289.224839987
11,17044,Brazil,869070644,6817009.545387026
12,15320,Brazil,869070644,6867975.618174176
13,28755,Brazil,869070644,13165663.629951648
14,9101,Brazil,869070644,3059256.733489746
15,22508,Brazil,869070644,10462901.172253706
16,34742,Brazil,869070644,17012685.76959678
17,18038,Brazil,869070644,7485643.587807389
18,24345,Brazil,869070644,10188554.639397621
19,25492,Brazil,869070644,12257134.383597527
20,23212,Brazil,869070644,11026746.533735713
21,19717,Brazil,869070644,9366713.804235013
22,21804,Brazil,869070644,13595704.959946286
23,24256,Brazil,869070644,11431793.588539906
24,16742,Brazil,869070644,6715192.2836650405
25,17912,Brazil,869070644,10617569.436083805
26,24461,Brazil,869070644,14061725.45438998
27,27166,Brazil,869070644,9706796.0008458
28,21823,Brazil,869070644,12221069.971504467
29,16787,Brazil,869070644,5673603.700509018
30,17295,Brazil,869070644,6816084.090059551
31,18118,Brazil,869070644,9969031.740891645
32,11498,Brazil,869070644,4563032.5164928
33,13258,Brazil,869070644,5942678.237211022
34,13020,Brazil,869070644,8057890.662604167
35,30596,Brazil,869070644,12860248.975710742
36,10089,Brazil,869070644,5322815.578752256
37,10780,Brazil,869070644,4497859.949131021
38,23763,Brazil,869070644,9684566.685598591
39,18423,Brazil,869070644,7867665.622252574
40,15834,Brazil,869070644,6967740.72556879
41,21917,Brazil,869070644,6807057.160098363
42,19912,Brazil,869070644,8429834.532754716
43,15588,Brazil,869070644,8697344.397765988
44,10758,Brazil,869070644,2872431.1570471865
45,25592,Brazil,869070644,8605578.981757201
46,24047,Brazil,869070644,14982863.879556056
47,15587,Brazil,869070644,8284832.924491144
48,18731,Brazil,869070644,5760523.352500962
49,19182,Brazil,869070644,10252552.813726135
50,20334,Brazil,869070644,8782869.411254968
51,18592,Brazil,869070644,11091783.40773187
52,8509,Brazil,869070644,4040408.5883440534
53,18261,Brazil,869070644,9090380.581289882
54,25306,Brazil,869070644,8326085.978463109
55,15352,Brazil,869070644,5939936.093291911
56,23962,Brazil,869070644,10256469.701520614
57,25885,Brazil,869070644,12642745.452922458
58,24034,Brazil,869070644,12579440.249198457
59,15922,Brazil,869070644,10002741.357148416
60,19353,Brazil,869070644,8715922.483211625
61,16405,Brazil,869070644,6205806.586176114
62,9246,Brazil,869070644,5210566.738250284
63,25985,Brazil,869070644,14105500.315022536
64,24121,Brazil,869070644,10637091.82372906
65,16028,Brazil,869070644,5549778.942074811
66,19645,Brazil,869070644,8583054.981278494
67,24679,Brazil,869070644,10869566.220689405
68,14732,Brazil,869070644,7225082.945589941
69,20080,Brazil,869070644,8604131.193652064
70,24305,Brazil,869070644,10232952.348518206
71,16306,Brazil,869070644,7416221.298669555
72,22955,Brazil,869070644,11910965.485013688
73,25437,Brazil,869070644,12906651.034438357
74,17027,Brazil,869070644,10191163.532116361
75,34368,Brazil,869070644,14713277.921699353
76,22448,Brazil,869070644,11097994.104243357
77,23235,Brazil,869070644,9471943.740648754
78,20580,Brazil,869070644,11088231.505008118
79,19400,Brazil,869070644,8009920.092142152
80,15392,Brazil,869070644,6247153.573620949
81,23095,Brazil,869070644,9115797.230025973
82,19750,Brazil,869070644,9990957.754696155
83,27093,Brazil,869070644,11496554.870397123
84,26507,Brazil,869070644,10769967.515450615
85,24769,Brazil,869070644,11538354.26071615
86,11331,Brazil,869070644,6065227.090373556
87,22864,Brazil,869070644,9695616.022389162
88,15164,Brazil,869070644,6927792.598061459
89,25529,Brazil,869070644,13470817.313988322
90,20461,Brazil,869070644,8722679.17101057
91,22997,Brazil,869070644,10952781.20027051
92,19079,Brazil,869070644,12736027.650463356
93,17572,Brazil,869070644,8132143.492335011
94,24911,Brazil,869070644,9683601.320218733
95,7309,Brazil,869070644,1852220.569925574
96,16661,Brazil,869070644,7093423.695593998
97,19091,Brazil,869070644,8079671.074426841
98,18981,Brazil,869070644,6975296.400434717
99,25776,Brazil,869070644,13482003.90557511
